title,session_area,authors,affiliation,status,rating,avg_rating,openreview_urls,neurips_urls,all_urls,openreview_id,neurips_id,name,norm_title_nj,neurips_abstract,neurips_event_type,neurips_session,neurips_location,neurips_starttime,neurips_endtime,neurips_virtualsite_url,neurips_paper_url,neurips_decision,neurips_poster_position
Algorithmic Collective Action,Workshop,"Elliot Creager, Nicholas Vincent, Celestine Mendler-Dünner, William Agnew, Hanlin Li, Ulrich Aïvodji",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109567,https://neurips.cc/virtual/2025/workshop/109567,,109567,Algorithmic Collective Action,algorithmic collective action,"The study of collective action has a long history in economics and sociology as a way for groups of people to impact markets and the political arena. Algorithmic collective action focuses on the study of such coordinated efforts in algorithmically-mediated sociotechnical systems. How can participants of AI systems coordinate towards a common good? We offer a platform to discuss new ideas and help define the foundational research directions for this emerging topic through interdisciplinary discussions between core ML researchers, scholars from the social sciences, community stakeholders and advocates.",Workshop,Workshop,Upper Level Room 4,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109567,https://neurips.cc/virtual/2025/workshop/109567,,
AI Virtual Cells and Instruments: A New Era in Drug Discovery and Development,Workshop,"Quanquan Gu, Michelle Li, Xuefeng Liu, Chong Liu, Abhishek Pandey, Ji Won Park, Nataša Tagasovska, Marinka Zitnik",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109543,https://neurips.cc/virtual/2025/workshop/109543,,109543,AI Virtual Cells and Instruments: A New Era in Drug Discovery and Development,ai virtual cells and instruments: a new era in drug discovery and development,"As the US FDA phases out animal testing requirements for drug discovery and development, AI tools will become widely adopted to simulate the effects of candidate drugs. We posit that building virtual cells and instruments with AI is poised to transform drug discovery and development by enabling large-scale simulation and interrogation of molecules, cells, and tissues. In our workshop, we will collaboratively define and promote this emerging scientific paradigm of AI to accelerate the drug discovery and development process in this new era.",Workshop,Workshop,Upper Level Room 28A-E,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109543,https://neurips.cc/virtual/2025/workshop/109543,,
Are We Having the Wrong Nightmares About AI?,Invited Talk,Zeynep Tufekci,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/129136,https://neurips.cc/virtual/2025/invited-talk/129136,,129136,Are We Having the Wrong Nightmares About AI?,are we having the wrong nightmares about ai?,"Though seemingly opposite, doom and optimism regarding generative AI's spectacular rise both center on AGI or even superintelligence as a pivotal moment. But generative AI operates in a distinct manner from human intelligence, and it’s not a less intelligent human on a chip slowly getting smarter anymore than cars were mere horseless carriages. It must be understood on its own terms. And even if Terminator isn’t coming to kill us or superintelligence isn’t racing to save us, generative AI does bring profound challenges, well-beyond usual worries such as employment effects.  Technology facilitates progress by transforming the difficult into easy, the rare into ubiquitous, the scarce into abundant, the manual into automated, and the artisan into mass-produced. While potentially positive long-term, these inversions are extremely destabilizing during the transition, shattering the correlations and assumptions of our social order that relied on superseded difficulties as mechanisms of proof, filtering, sorting and signaling. For example, while few would dispute the value of the printing press or books, their introduction led to such destructive upheaval that the resulting religious wars caused proportionally more deaths than all other major wars and pandemics since combined. Historically, a new technology's revolutionary impact comes from making what's already possible and desired cheap, easy, fast, and large-scale, not from outdated or ill-fitting benchmarks that technologists tend to focus on. As such, Artificial Good-Enough Intelligence can unleash chaos and destruction long before, or if ever, AGI is reached. Existing AI is good enough to blur or pulverize our existing mechanisms of proof of accuracy, effort, veracity, authenticity, sincerity, and even humanity. The tumult from such a transition will require extensive technological, regulatory, and societal effort to counter. But the first step to getting started is having the right nightmares.",Invited Talk,Invited Talk,Don Alberto 1-4,2025-12-03T14:30:00,,https://neurips.cc/virtual/2025/invited-talk/129136,https://neurips.cc/virtual/2025/invited-talk/129136,,
Aruna Nannapaneni (BTF),Workshop,Aruna Nannapaneni,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129354,https://neurips.cc/virtual/2025/workshop/129354,,129354,Aruna Nannapaneni (BTF),aruna nannapaneni (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129354,https://neurips.cc/virtual/2025/workshop/129354,,
Are We Having the Wrong Nightmares About AI?,Invited Talk,Zeynep Tufekci,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/109606,https://neurips.cc/virtual/2025/invited-talk/109606,,109606,Are We Having the Wrong Nightmares About AI?,are we having the wrong nightmares about ai?,"Though seemingly opposite, doom and optimism regarding generative AI's spectacular rise both center on AGI or even superintelligence as a pivotal moment. But generative AI operates in a distinct manner from human intelligence, and it’s not a less intelligent human on a chip slowly getting smarter anymore than cars were mere horseless carriages. It must be understood on its own terms. And even if Terminator isn’t coming to kill us or superintelligence isn’t racing to save us, generative AI does bring profound challenges, well-beyond usual worries such as employment effects.  Technology facilitates progress by transforming the difficult into easy, the rare into ubiquitous, the scarce into abundant, the manual into automated, and the artisan into mass-produced. While potentially positive long-term, these inversions are extremely destabilizing during the transition, shattering the correlations and assumptions of our social order that relied on superseded difficulties as mechanisms of proof, filtering, sorting and signaling. For example, while few would dispute the value of the printing press or books, their introduction led to such destructive upheaval that the resulting religious wars caused proportionally more deaths than all other major wars and pandemics since combined. Historically, a new technology's revolutionary impact comes from making what's already possible and desired cheap, easy, fast, and large-scale, not from outdated or ill-fitting benchmarks that technologists tend to focus on. As such, Artificial Good-Enough Intelligence can unleash chaos and destruction long before, or if ever, AGI is reached. Existing AI is good enough to blur or pulverize our existing mechanisms of proof of accuracy, effort, veracity, authenticity, sincerity, and even humanity. The tumult from such a transition will require extensive technological, regulatory, and societal effort to counter. But the first step to getting started is having the right nightmares.",Invited Talk,Invited Talk,"Exhibit Hall F,G,H",2025-12-03T14:30:00,,https://neurips.cc/virtual/2025/invited-talk/109606,https://neurips.cc/virtual/2025/invited-talk/109606,,
Arm (BTF),Workshop,Matt Cossins,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129858,https://neurips.cc/virtual/2025/workshop/129858,,129858,Arm (BTF),arm (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129858,https://neurips.cc/virtual/2025/workshop/129858,,
Biosecurity Safeguards for Generative AI,Workshop,"ZAIXI ZHANG, Amrit Singh Bedi, Mengdi Wang, Ruofan Jin, Le Cong, Souradip Chakraborty, Alvaro Velasquez",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109573,https://neurips.cc/virtual/2025/workshop/109573,,109573,Biosecurity Safeguards for Generative AI,biosecurity safeguards for generative ai,,Workshop,Workshop,Upper Level Room 27AB,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109573,https://neurips.cc/virtual/2025/workshop/109573,,
"BASIRA Lab, Imperial College London (BTF)",Workshop,Islem Rekik,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/133273,https://neurips.cc/virtual/2025/workshop/133273,,133273,"BASIRA Lab, Imperial College London (BTF)","basira lab, imperial college london (btf)",,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/133273,https://neurips.cc/virtual/2025/workshop/133273,,
Autoregressive Models Beyond Language,Tutorial,"Tianhong Li, Huiwen Chang, Kaiming He",,Accepted,,,,https://neurips.cc/virtual/2025/109587,https://neurips.cc/virtual/2025/109587,,109587,Autoregressive Models Beyond Language,autoregressive models beyond language,"Autoregressive modeling is no longer confined to language. Recent work shows that the same next-element prediction principle can achieve state-of-the-art performance in generative modeling, representation learning, and multi-modal tasks across images, video, audio, robotics, and scientific data. Yet, extending autoregressive methods to these data is far from straightforward. Many inductive biases used in autoregressive language models no longer hold for other data modalities, and thus, many new techniques have been proposed in recent years to adapt autoregressive models to data beyond language.<br><br>This tutorial will review the core theory of autoregressive models, present practical design choices for generative modeling, representation learning, and multi-modal learning, and spotlight open challenges in this area. We hope our tutorial can provide the attendees with a clear conceptual roadmap and hands-on resources to apply and extend autoregressive techniques across diverse data domains.",Tutorial,Tutorial,Upper Level Room 30A-E,2025-12-02T13:30:00,,https://neurips.cc/virtual/2025/109587,https://neurips.cc/virtual/2025/109587,,
Artificial Intelligence for Music: Where Creativity Meets Computation,Workshop,"Hao-Wen Dong, Zachary Novack, Yung-Hsiang Lu, Kristen Yeon-Ji Yun, Benjamin Chou",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109534,https://neurips.cc/virtual/2025/workshop/109534,,109534,Artificial Intelligence for Music: Where Creativity Meets Computation,artificial intelligence for music: where creativity meets computation,"This workshop explores the dynamic intersection of AI and music, a rapidly evolving field where creativity meets computation. The goal of this workshop is twofold: First, we aim to explore the latest advancements of AI’s applications for music, from analysis, creation, performance, production, retrieval to music education and therapy. Second, we aim to discuss the impacts and implications of AI in music, including AI’s impacts on the music industry, musician community, and music education as well as ethical, legal and societal implications of AI music and AI’s implications for future musicians.",Workshop,Workshop,Upper Level Room 27AB,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109534,https://neurips.cc/virtual/2025/workshop/109534,,
CauScien: Uncovering Causality in Science,Workshop,"Dingling Yao, Jiaqi Zhang, Piersilvio De Bartolomeis, Ying Jin, Alexander D&#x27;Amour, Caroline Uhler, Kun Zhang, Francesco Locatello",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109550,https://neurips.cc/virtual/2025/workshop/109550,,109550,CauScien: Uncovering Causality in Science,causcien: uncovering causality in science,,Workshop,Workshop,Upper Level Room 8,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109550,https://neurips.cc/virtual/2025/workshop/109550,,
"Center for Global Health Equity, University of Michigan (BTF)",Workshop,Geoffrey Siwo,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129495,https://neurips.cc/virtual/2025/workshop/129495,,129495,"Center for Global Health Equity, University of Michigan (BTF)","center for global health equity, university of michigan (btf)",,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129495,https://neurips.cc/virtual/2025/workshop/129495,,
CISPA Helmholtz Center for Information Security (BTF),Workshop,Krikamol Muandet,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129340,https://neurips.cc/virtual/2025/workshop/129340,,129340,CISPA Helmholtz Center for Information Security (BTF),cispa helmholtz center for information security (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129340,https://neurips.cc/virtual/2025/workshop/129340,,
CogInterp: Interpreting Cognition in Deep Learning Models,Workshop,"Eric Bigelow, Jennifer Hu, Ekdeep S Lubana, Kanishk Gandhi, Laura Ruis, Thomas Fel, Ellie Pavlick, Noah Goodman",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109544,https://neurips.cc/virtual/2025/workshop/109544,,109544,CogInterp: Interpreting Cognition in Deep Learning Models,coginterp: interpreting cognition in deep learning models,"Recent innovations in deep learning have produced models with impressive capabilities, achieving or even exceeding human performance in a wide range of domains. A timely and critical challenge in AI is understanding what behaviors these models are actually capable of, and the internal processes which support these behaviors. As interest continues to grow in models’ internal processes, the field of cognitive science is becoming increasingly useful for describing and understanding cognition in deep learning models: cognitive science, which seeks to describe the cognitive processes in human and animal minds, offers a rich body of theories, experiments, and frameworks which may be adopted to understand how deep learning models achieve complex behaviors in domains such as language, vision, and reasoning.<br><br>The workshop will focus on Cognitive Interpretability (“CogInterp”), which involves the systematic interpretation of high-level cognition in deep learning models. Similar to how cognitive science describes the intermediate representations and algorithms (or cognition) between behavior and neurons in biological systems, the goal of Cognitive Interpretability is to describe the cognitive processes which lie between the levels of behavioral evaluations and mechanistic interpretability in deep learning models. Practically speaking, this means that Cognitive Interpretability does not just ask whether a model can perform task X or has a certain ability Y , but additionally (or instead) how a model performs X or learns and implements Y . These kinds of inferences—from observable behavior to latent “mental” processes—are the bread and butter of cognitive science, but many of the theoretical and empirical tools developed to tackle these problems have not yet been widely adopted in AI research, in part because of the separation between the fields and communities.<br><br>To address the gap above, our goal is to bring together researchers in cognitive science and AI interpretability to discuss new empirical results and theories about the inner workings of deep learning models. We hope to gather perspectives from various disciplines, including machine learning, psychology, linguistics, vision science, neuroscience, philosophy of mind, and law.",Workshop,Workshop,Upper Level Room 5AB,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109544,https://neurips.cc/virtual/2025/workshop/109544,,
Centering Low-Resource Languages and Cultures in the Age of Large Language Models,Workshop,"Joy Olusanya, Mary Salami, Cynthia Amol, Joy Olusanya, Sharon Ibejih, OLUCHI AUDU, Flora Oladipupo, Yann LE BEUX",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/127830,https://neurips.cc/virtual/2025/workshop/127830,,127830,Centering Low-Resource Languages and Cultures in the Age of Large Language Models,centering low-resource languages and cultures in the age of large language models,"Large Language Models (LLMs) have transformed NLP research and applications, yet they are still predominantly trained on high-resource, globally dominant languages. This imbalance leads to poor performance and limited applicability for low-resource languages, which are rich in tone, morphology, and cultural meaning. As a result, current AI systems risk reinforcing linguistic inequality, cultural erasure, and lack of accessibility in critical domains like education and healthcare.This workshop aims to reframe language technology by centering low-resource languages, cultures, and epistemologies in the age of LLMs. We seek to bring together researchers, linguists, developers, healthcare professionals, and technologists to share insights and develop strategies for building inclusive, culturally grounded, and linguistically robust language models. The workshop emphasizes collaboration across disciplines and regions to ensure both technical advancement and social relevance.Key areas of focus include developing LLM architectures tailored to low-resource linguistic features, ethical and community-centered dataset collection, and multilingual benchmarks designed specifically for underrepresented languages. We also highlight the importance of healthcare and medical machine translation to support equitable access to information and improve public health outcomes. Ultimately, this workshop aims to advance responsible AI innovation that empowers low-resource language communities and shapes a more inclusive future for global language technologies.",Workshop,Workshop,Don Alberto 1,2025-12-01T06:00:00,,https://neurips.cc/virtual/2025/workshop/127830,https://neurips.cc/virtual/2025/workshop/127830,,
Center for Low-Resource Languages and Cultures (CLRLC) (BTF),Workshop,Joy Olusanya,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129131,https://neurips.cc/virtual/2025/workshop/129131,,129131,Center for Low-Resource Languages and Cultures (CLRLC) (BTF),center for low-resource languages and cultures (clrlc) (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129131,https://neurips.cc/virtual/2025/workshop/129131,,
Center for Subsurface Energy and Sustainability at The Ohio State University (BTF),Workshop,Prince Henry Sampson Eduam,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129860,https://neurips.cc/virtual/2025/workshop/129860,,129860,Center for Subsurface Energy and Sustainability at The Ohio State University (BTF),center for subsurface energy and sustainability at the ohio state university (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129860,https://neurips.cc/virtual/2025/workshop/129860,,
Community Innovations Foundation (BTF),Workshop,Dailin Hu,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/131819,https://neurips.cc/virtual/2025/workshop/131819,,131819,Community Innovations Foundation (BTF),community innovations foundation (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/131819,https://neurips.cc/virtual/2025/workshop/131819,,
CompNeuroSociety (BTF),Workshop,Sebastian Ruiz,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/133274,https://neurips.cc/virtual/2025/workshop/133274,,133274,CompNeuroSociety (BTF),compneurosociety (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/133274,https://neurips.cc/virtual/2025/workshop/133274,,
Constrained Optimization for Machine Learning,Workshop,"Juan Ramirez, Meraj Hashemizadeh, Ignacio Hounie, Juan Elenter, Katya Scheinberg, Alejandro Ribeiro, Simon Lacoste-Julien",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109533,https://neurips.cc/virtual/2025/workshop/109533,,109533,Constrained Optimization for Machine Learning,constrained optimization for machine learning,"As AI systems are increasingly deployed in safety-critical domains—including credit scoring, medical diagnosis, and autonomous systems—there is a growing demand to ensure their fairness, safety, robustness, and interpretability, alongside stronger calls for regulation. Constrained optimization offers an accountable framework for enforcing these requirements by embedding them directly into the training process, steering models to satisfy explicit constraints. This framework facilitates compliance with regulatory, industry, or ethical standards, which can be easily verified by checking constraint satisfaction.<br><br>This workshop explores constrained optimization as a principled method for enforcing desirable properties in machine learning models. It brings together experts in optimization, machine learning, and trustworthy AI to address the algorithmic and practical challenges of scaling constrained methods to modern deep learning settings, which are often large-scale, non-convex, and stochastic.",Workshop,Workshop,Upper Level Ballroom 6DE,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109533,https://neurips.cc/virtual/2025/workshop/109533,,
Copyright.sh (BTF),Workshop,Tyler Martin,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/133275,https://neurips.cc/virtual/2025/workshop/133275,,133275,Copyright.sh (BTF),copyright.sh (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/133275,https://neurips.cc/virtual/2025/workshop/133275,,
